13207,231,12,155,1,32,P,,IM-00013207,N,TWM,TWM,A,28-Oct-04,28-Oct-04,0,0,M,,0,58
13208,231,12,167,1,44,P,,IM-00013208,N,Wellsight Strip.Log,Wellsight Strip.Log,A,28-Oct-04,28-Oct-04,0,0,M,,0,58
13209,231,12,167,1,44,P,,IM-00013209,N,WellSight5.1a,WellSight5.1a,A,28-Oct-04,28-Oct-04,0,0,M,,0,18
13210,231,12,87,1,49,P,,IM-00013210,N,Aelita Enterprise Directory Manager,Aelita Enterprise Directory Manager,A,28-Oct-04,28-Oct-04,0,0,M,,0,18
13211,231,12,87,1,49,P,,IM-00013211,N,Aelita Reporting Console,Aelita Reporting Console,A,28-Oct-04,28-Oct-04,0,0,M,,0,18
13212,231,12,87,1,49,P,,IM-00013212,N,Aelita Reporting Console,Aelita Reporting Console,A,28-Oct-04,28-Oct-04,0,0,M,,0,18
13213,231,12,8,1,21,P,,IM-00013213,N,AT&T Global Network Dialer,AT&T Global Network Dialer,A,28-Oct-04,28-Oct-04,0,0,M,,0,18
13214,231,12,87,1,57,P,,IM-00013214,N,Citrix Metaframe 1.8 / Licencia 30,Citrix Metaframe 1.8 / Licencia 30,A,28-Oct-04,28-Oct-04,0,0,M,,0,18
13215,231,12,87,1,57,P,,IM-00013215,N,Citrix Metaframe 1.8 TSE to MetaFrame 1.8,Citrix Metaframe 1.8 TSE to MetaFrame 1.8,A,28-Oct-04,28-Oct-04,0,0,M,,0,18
13216,231,12,87,1,6,P,,IM-00013216,N,Cristal Ball 2000,Cristal Ball 2000,A,28-Oct-04,28-Oct-04,0,0,M,,0,18
13217,231,12,10,1,85,P,,IM-00013217,N,Canon Nets Pot,Canon Nets Pot,A,28-Oct-04,28-Oct-04,0,0,M,,0,18
13218,231,12,87,1,70,P,,IM-00013218,N,Client 32 & Patches,Client 32 & Patches,A,28-Oct-04,28-Oct-04,0,0,M,,0,58
13219,231,12,87,1,6,P,,IM-00013219,N,Cascade Connections,Cascade Connections,A,28-Oct-04,28-Oct-04,0,0,M,,0,18
