250,251
585278,1393
1321797,3481
451,88451
544479,100001
216622,100009
1071548,100360
548232,100397
406905,100492
2043015,100688
584265,100785
255133,100794
584826,100852
1022407,100858
204750,100917
1020232,100939
532827,101051
1080580,101142
526677,101148
2034640,101205
222695,101243
1234310,101312
256636,101544
1171286,101566
1067508,101614
268961,101690
1279061,101739
1014285,102133
585124,102283
583582,102544
1021328,102583
2059154,102613
203125,102803
579483,102862
1175123,102993
2040182,103071
547599,103088
101336,103112
515692,103121
2001121,103237
523716,103313
1254893,103415
1025014,103428
1013403,103460
209833,103472
320400,103488
581058,103677
2013842,103692
562090,103794
255604,104160
1154260,104169
546389,104211
1019116,104370
585803,104492
1185453,104560
2028451,105734
1268830,105940
1019393,107474
568901,111187
2012739,111534
1011477,111625
2013304,111900
170019,112219
579625,112318
2059115,112508
196250,112656
562292,112763
196250,113175
1036249,113225
2012554,114165
578867,114967
585884,115154
402817,115444
172197,115550
402817,115584
1010449,115634
1010449,116087
170019,116723
516176,116731
554186,116749
532567,116772
2000266,117028
170019,117432
1055858,117911
123910,118257
552234,118307
2001444,118315
517220,118500
196250,118554
196250,118588
255919,118700
170019,119560
583738,119636
585630,119743
1067496,120675
139311,120972
545927,121400
551191,122010
549070,122127
101730,122176
1063375,122325
546595,122358
569828,122400
562783,122465
548055,123026
568901,123141
170019,123216
552462,123299
196250,124966
526386,125153
568901,125195
1048297,125500
554186,126318
551725,126375
554214,127431
558634,130210
1176735,130401
409985,130520
403633,130690
279299,130820
1329953,130920
543589,130950
272625,130960
170019,131020
2020635,131040
1010352,131250
1010352,131430
1036168,131480
1258729,131550
2047587,131620
196250,131730
530107,131770
402817,131810
170019,131820
1036168,131860
1315782,131870
546289,131930
543732,131960
1147338,132150
549201,132170
101579,132300
1147338,132450
103939,132600
531719,132860
575326,132940
575326,132950
501350,133320
196250,133530
557021,133910
2050722,134130
576804,134270
557859,134340
574947,134403
1037282,134630
558185,134730
1032527,135400
2015252,135500
196250,135620
2016416,135690
1032527,136520
1171497,136887
1151984,137471
543887,137830
284836,138070
1012418,138500
1310611,138700
560534,138810
575326,138930
572085,139030
561514,139270
578544,139320
